time_period,area_code,area_name,region_or_country_name,index,monthly_change,annual_change,rental_price,median_monthly_pay,rent_to_pay_percent
2015-01-01,K02000001,United Kingdom,,81.258259,,,910.0,1618,56.24227441285537
2015-02-01,K02000001,United Kingdom,,81.413747,0.191351,,912.0,1620,56.2962962962963
2015-03-01,K02000001,United Kingdom,,81.663685,0.306997,,915.0,1622,56.4118372379778
2015-04-01,K02000001,United Kingdom,,81.990506,0.400204,,918.0,1613,56.91258524488531
2015-05-01,K02000001,United Kingdom,,82.343646,0.430708,,922.0,1616,57.05445544554455
2015-06-01,K02000001,United Kingdom,,82.498421,0.187963,,924.0,1618,57.10754017305315
2015-07-01,K02000001,United Kingdom,,82.668782,0.206502,,926.0,1617,57.266542980828696
2015-08-01,K02000001,United Kingdom,,82.989885,0.388422,,930.0,1620,57.407407407407405
2015-09-01,K02000001,United Kingdom,,83.297327,0.370456,,933.0,1620,57.592592592592595
2015-10-01,K02000001,United Kingdom,,83.419253,0.146374,,935.0,1625,57.53846153846154
2015-11-01,K02000001,United Kingdom,,83.591261,0.206198,,936.0,1635,57.247706422018354
2015-12-01,K02000001,United Kingdom,,83.781602,0.227704,,939.0,1629,57.6427255985267
2016-01-01,K02000001,United Kingdom,,83.977325,0.233611,3.346202,941.0,1640,57.3780487804878
2016-02-01,K02000001,United Kingdom,,84.129586,0.181312,3.335847,942.0,1643,57.33414485696896
2016-03-01,K02000001,United Kingdom,,84.452219,0.383496,3.414656,946.0,1646,57.4726609963548
2016-04-01,K02000001,United Kingdom,,84.668955,0.256638,3.266779,949.0,1651,57.48031496062992
2016-05-01,K02000001,United Kingdom,,84.941625,0.322043,3.155045,952.0,1655,57.522658610271904
2016-06-01,K02000001,United Kingdom,,85.184903,0.286406,3.256404,954.0,1656,57.608695652173914
2016-07-01,K02000001,United Kingdom,,85.510449,0.382164,3.437412,958.0,1660,57.71084337349398
2016-08-01,K02000001,United Kingdom,,85.753805,0.284592,3.330429,961.0,1661,57.85671282360024
2016-09-01,K02000001,United Kingdom,,86.003639,0.291339,3.248978,963.0,1664,57.87259615384615
2016-10-01,K02000001,United Kingdom,,86.200069,0.228398,3.333543,966.0,1669,57.878969442780104
2016-11-01,K02000001,United Kingdom,,86.430171,0.266939,3.39618,968.0,1668,58.033573141486805
2016-12-01,K02000001,United Kingdom,,86.61792,0.217226,3.385371,970.0,1671,58.049072411729504
2017-01-01,K02000001,United Kingdom,,86.787575,0.195865,3.346439,972.0,1672,58.133971291866025
2017-02-01,K02000001,United Kingdom,,86.85995,0.083393,3.245427,973.0,1678,57.985697258641245
2017-03-01,K02000001,United Kingdom,,87.006839,0.169111,3.02493,975.0,1684,57.8978622327791
2017-04-01,K02000001,United Kingdom,,87.201309,0.223511,2.990889,977.0,1690,57.81065088757396
2017-05-01,K02000001,United Kingdom,,87.193398,-0.009072,2.650965,977.0,1691,57.776463630987585
2017-06-01,K02000001,United Kingdom,,87.369665,0.202157,2.56473,979.0,1692,57.86052009456265
2017-07-01,K02000001,United Kingdom,,87.625411,0.292717,2.473338,982.0,1698,57.83274440518257
2017-08-01,K02000001,United Kingdom,,87.667564,0.048106,2.231691,982.0,1700,57.76470588235294
2017-09-01,K02000001,United Kingdom,,87.639008,-0.032573,1.901512,982.0,1705,57.59530791788856
2017-10-01,K02000001,United Kingdom,,87.755129,0.132498,1.804012,983.0,1711,57.451782583284626
2017-11-01,K02000001,United Kingdom,,87.840427,0.0972,1.631671,984.0,1716,57.34265734265735
2017-12-01,K02000001,United Kingdom,,87.907656,0.076536,1.488994,985.0,1721,57.234166182452064
2018-01-01,K02000001,United Kingdom,,87.812078,-0.108725,1.180473,984.0,1726,57.01042873696408
2018-02-01,K02000001,United Kingdom,,87.980532,0.191834,1.290102,986.0,1728,57.06018518518518
2018-03-01,K02000001,United Kingdom,,87.88094,-0.113198,1.004635,984.0,1728,56.94444444444444
2018-04-01,K02000001,United Kingdom,,87.878594,-0.002669,0.776691,984.0,1732,56.812933025404156
2018-05-01,K02000001,United Kingdom,,87.895009,0.018679,0.804661,985.0,1747,56.38236977676016
2018-06-01,K02000001,United Kingdom,,87.959517,0.073393,0.675122,985.0,1754,56.157354618015965
2018-07-01,K02000001,United Kingdom,,88.130971,0.194923,0.576955,987.0,1760,56.07954545454545
