time_period,area_code,area_name,region_or_country_name,index,monthly_change,annual_change,rental_price,median_monthly_pay,rent_to_pay_percent,cpih_index,real_rent,real_pay
2015-01-01,K02000001,United Kingdom,,81.258259,,,910.0,1618,56.24227441285537,99.2,1303.538306451613,2317.719758064516
2015-02-01,K02000001,United Kingdom,,81.413747,0.191351,,912.0,1620,56.2962962962963,99.5,1302.46432160804,2313.5879396984924
2015-03-01,K02000001,United Kingdom,,81.663685,0.306997,,915.0,1622,56.4118372379778,99.6,1305.436746987952,2314.118473895582
2015-04-01,K02000001,United Kingdom,,81.990506,0.400204,,918.0,1613,56.91258524488531,99.9,1305.7837837837835,2294.367367367367
2015-05-01,K02000001,United Kingdom,,82.343646,0.430708,,922.0,1616,57.05445544554455,100.1,1308.8531468531469,2294.041958041958
2015-06-01,K02000001,United Kingdom,,82.498421,0.187963,,924.0,1618,57.10754017305315,100.1,1311.6923076923076,2296.8811188811187
2015-07-01,K02000001,United Kingdom,,82.668782,0.206502,,926.0,1617,57.266542980828696,100.0,1315.846,2297.7569999999996
2015-08-01,K02000001,United Kingdom,,82.989885,0.388422,,930.0,1620,57.407407407407405,100.3,1317.5772681954138,2295.134596211366
2015-09-01,K02000001,United Kingdom,,83.297327,0.370456,,933.0,1620,57.592592592592595,100.2,1323.1467065868262,2297.425149700599
2015-10-01,K02000001,United Kingdom,,83.419253,0.146374,,935.0,1625,57.53846153846154,100.3,1324.6610169491526,2302.2183449651047
2015-11-01,K02000001,United Kingdom,,83.591261,0.206198,,936.0,1635,57.247706422018354,100.3,1326.0777666999004,2316.385842472582
2015-12-01,K02000001,United Kingdom,,83.781602,0.227704,,939.0,1629,57.6427255985267,100.4,1329.0029880478087,2305.586653386454
2016-01-01,K02000001,United Kingdom,,83.977325,0.233611,3.346202,941.0,1640,57.3780487804878,99.9,1338.4994994994995,2332.7727727727724
2016-02-01,K02000001,United Kingdom,,84.129586,0.181312,3.335847,942.0,1643,57.33414485696896,100.1,1337.2447552447552,2332.3706293706296
2016-03-01,K02000001,United Kingdom,,84.452219,0.383496,3.414656,946.0,1646,57.4726609963548,100.4,1338.910358565737,2329.6474103585656
2016-04-01,K02000001,United Kingdom,,84.668955,0.256638,3.266779,949.0,1651,57.48031496062992,100.6,1340.4860834990059,2332.0785288270376
2016-05-01,K02000001,United Kingdom,,84.941625,0.322043,3.155045,952.0,1655,57.522658610271904,100.8,1342.0555555555554,2333.090277777778
2016-06-01,K02000001,United Kingdom,,85.184903,0.286406,3.256404,954.0,1656,57.608695652173914,101.0,1342.2118811881187,2329.877227722772
2016-07-01,K02000001,United Kingdom,,85.510449,0.382164,3.437412,958.0,1660,57.71084337349398,100.9,1349.1754212091178,2337.8196233894946
2016-08-01,K02000001,United Kingdom,,85.753805,0.284592,3.330429,961.0,1661,57.85671282360024,101.2,1349.3883399209487,2332.293478260869
2016-09-01,K02000001,United Kingdom,,86.003639,0.291339,3.248978,963.0,1664,57.87259615384615,101.5,1348.1999999999998,2329.6
2016-10-01,K02000001,United Kingdom,,86.200069,0.228398,3.333543,966.0,1669,57.878969442780104,101.6,1351.0688976377953,2334.3001968503936
2016-11-01,K02000001,United Kingdom,,86.430171,0.266939,3.39618,968.0,1668,58.033573141486805,101.8,1351.206286836935,2328.318271119843
2016-12-01,K02000001,United Kingdom,,86.61792,0.217226,3.385371,970.0,1671,58.049072411729504,102.2,1348.6986301369864,2323.3767123287666
2017-01-01,K02000001,United Kingdom,,86.787575,0.195865,3.346439,972.0,1672,58.133971291866025,101.8,1356.7897838899803,2333.901768172888
2017-02-01,K02000001,United Kingdom,,86.85995,0.083393,3.245427,973.0,1678,57.985697258641245,102.4,1350.2275390624998,2328.5527343749995
2017-03-01,K02000001,United Kingdom,,87.006839,0.169111,3.02493,975.0,1684,57.8978622327791,102.7,1349.0506329113923,2330.052580331061
2017-04-01,K02000001,United Kingdom,,87.201309,0.223511,2.990889,977.0,1690,57.81065088757396,103.2,1345.268410852713,2327.0251937984494
2017-05-01,K02000001,United Kingdom,,87.193398,-0.009072,2.650965,977.0,1691,57.776463630987585,103.5,1341.3690821256037,2321.6531400966182
2017-06-01,K02000001,United Kingdom,,87.369665,0.202157,2.56473,979.0,1692,57.86052009456265,103.5,1344.1149758454105,2323.026086956522
2017-07-01,K02000001,United Kingdom,,87.625411,0.292717,2.473338,982.0,1698,57.83274440518257,103.5,1348.2338164251205,2331.2637681159417
2017-08-01,K02000001,United Kingdom,,87.667564,0.048106,2.231691,982.0,1700,57.76470588235294,104.0,1341.7519230769228,2322.7884615384614
