area_name,first_date,latest_date,first_rent,latest_rent,first_pay,latest_pay,first_rent_to_pay,latest_rent_to_pay,rent_growth_percent,pay_growth_percent,affordability_change_pp
Northern Ireland,2015-01-01,2026-03-01,532.0,876.0,1502,2454,35.41944074567244,35.69682151589242,64.66165413533834,63.38215712383488,0.27738077021997753
East Midlands,2015-01-01,2026-05-01,566.0,914.0,1526,2517,37.09043250327654,36.31307111640842,61.48409893992933,64.94102228047181,-0.7773613868681153
North West,2015-01-01,2026-05-01,594.0,954.0,1529,2521,38.84892086330935,37.84212614042047,60.60606060606061,64.87900588620013,-1.006794722888884
West Midlands,2015-01-01,2026-05-01,615.0,966.0,1537,2508,40.013012361743655,38.516746411483254,57.073170731707314,63.17501626545218,-1.4962659502604012
Wales,2015-01-01,2026-05-01,541.0,836.0,1524,2497,35.498687664041995,33.480176211453745,54.5286506469501,63.84514435695539,-2.0185114525882497
South West,2015-01-01,2026-05-01,778.0,1234.0,1515,2526,51.353135313531354,48.85193982581155,58.61182519280206,66.73267326732673,-2.501195487719805
South East,2015-01-01,2026-05-01,932.0,1418.0,1731,2767,53.841709994222995,51.24683773039392,52.14592274678112,59.84979780473715,-2.5948722638290747
Scotland,2015-01-01,2026-05-01,673.0,1009.0,1658,2669,40.59107358262967,37.80442113150993,49.925705794947994,60.977080820265385,-2.7866524511197355
North East,2015-01-01,2026-05-01,533.0,776.0,1542,2486,34.56549935149157,31.214802896218824,45.590994371482175,61.21919584954605,-3.350696455272743
United Kingdom,2015-01-01,2026-05-01,910.0,1383.0,1618,2626,56.24227441285537,52.66565118050267,51.978021978021985,62.2991347342398,-3.576623232352702
Yorkshire and The Humber,2015-01-01,2026-05-01,586.0,856.0,1513,2467,38.730998017184405,34.69801378192136,46.075085324232084,63.05353602115004,-4.032984235263044
London,2015-01-01,2026-05-01,1580.0,2294.0,1949,3082,81.0672139558748,74.43218689162882,45.18987341772152,58.132375577219086,-6.635027064245989
