time_period,area_code,area_name,region_or_country_name,index,monthly_change,annual_change,rental_price
2015-01-01,K02000001,United Kingdom,,81.258259,,,910.0
2015-02-01,K02000001,United Kingdom,,81.413747,0.191351,,912.0
2015-03-01,K02000001,United Kingdom,,81.663685,0.306997,,915.0
2015-04-01,K02000001,United Kingdom,,81.990506,0.400204,,918.0
2015-05-01,K02000001,United Kingdom,,82.343646,0.430708,,922.0
2015-06-01,K02000001,United Kingdom,,82.498421,0.187963,,924.0
2015-07-01,K02000001,United Kingdom,,82.668782,0.206502,,926.0
2015-08-01,K02000001,United Kingdom,,82.989885,0.388422,,930.0
2015-09-01,K02000001,United Kingdom,,83.297327,0.370456,,933.0
2015-10-01,K02000001,United Kingdom,,83.419253,0.146374,,935.0
2015-11-01,K02000001,United Kingdom,,83.591261,0.206198,,936.0
2015-12-01,K02000001,United Kingdom,,83.781602,0.227704,,939.0
2016-01-01,K02000001,United Kingdom,,83.977325,0.233611,3.346202,941.0
2016-02-01,K02000001,United Kingdom,,84.129586,0.181312,3.335847,942.0
2016-03-01,K02000001,United Kingdom,,84.452219,0.383496,3.414656,946.0
2016-04-01,K02000001,United Kingdom,,84.668955,0.256638,3.266779,949.0
2016-05-01,K02000001,United Kingdom,,84.941625,0.322043,3.155045,952.0
2016-06-01,K02000001,United Kingdom,,85.184903,0.286406,3.256404,954.0
2016-07-01,K02000001,United Kingdom,,85.510449,0.382164,3.437412,958.0
2016-08-01,K02000001,United Kingdom,,85.753805,0.284592,3.330429,961.0
2016-09-01,K02000001,United Kingdom,,86.003639,0.291339,3.248978,963.0
2016-10-01,K02000001,United Kingdom,,86.200069,0.228398,3.333543,966.0
2016-11-01,K02000001,United Kingdom,,86.430171,0.266939,3.39618,968.0
2016-12-01,K02000001,United Kingdom,,86.61792,0.217226,3.385371,970.0
2017-01-01,K02000001,United Kingdom,,86.787575,0.195865,3.346439,972.0
2017-02-01,K02000001,United Kingdom,,86.85995,0.083393,3.245427,973.0
2017-03-01,K02000001,United Kingdom,,87.006839,0.169111,3.02493,975.0
2017-04-01,K02000001,United Kingdom,,87.201309,0.223511,2.990889,977.0
2017-05-01,K02000001,United Kingdom,,87.193398,-0.009072,2.650965,977.0
2017-06-01,K02000001,United Kingdom,,87.369665,0.202157,2.56473,979.0
2017-07-01,K02000001,United Kingdom,,87.625411,0.292717,2.473338,982.0
2017-08-01,K02000001,United Kingdom,,87.667564,0.048106,2.231691,982.0
2017-09-01,K02000001,United Kingdom,,87.639008,-0.032573,1.901512,982.0
2017-10-01,K02000001,United Kingdom,,87.755129,0.132498,1.804012,983.0
2017-11-01,K02000001,United Kingdom,,87.840427,0.0972,1.631671,984.0
2017-12-01,K02000001,United Kingdom,,87.907656,0.076536,1.488994,985.0
