Date,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland,UK
July 2014,1524,1512,1493,1510,1515,1638,1928,1715,1493,1498,1647,1488,1598
August 2014,1527,1513,1496,1511,1521,1645,1932,1718,1497,1497,1650,1486,1601
September 2014,1528,1516,1497,1513,1521,1647,1932,1721,1500,1501,1649,1493,1604
October 2014,1533,1514,1502,1515,1518,1640,1934,1722,1503,1498,1649,1487,1601
November 2014,1536,1523,1507,1521,1529,1647,1937,1726,1508,1510,1653,1503,1611
December 2014,1547,1527,1509,1525,1534,1651,1944,1731,1511,1521,1658,1515,1617
January 2015,1542,1529,1513,1526,1537,1656,1949,1731,1515,1524,1658,1502,1618
February 2015,1540,1534,1518,1533,1538,1661,1951,1738,1522,1519,1661,1495,1620
March 2015,1537,1529,1518,1526,1540,1663,1947,1739,1528,1520,1657,1503,1622
April 2015,1532,1523,1514,1521,1529,1658,1944,1734,1517,1516,1653,1497,1613
May 2015,1534,1523,1516,1521,1534,1658,1943,1732,1516,1514,1656,1498,1616
June 2015,1533,1524,1516,1522,1537,1667,1947,1736,1522,1522,1655,1494,1618
July 2015,1536,1523,1517,1523,1538,1658,1951,1738,1520,1519,1661,1488,1617
August 2015,1535,1527,1514,1527,1537,1661,1951,1739,1523,1519,1655,1492,1620
September 2015,1537,1528,1516,1527,1531,1660,1956,1741,1522,1517,1658,1493,1620
October 2015,1541,1531,1521,1529,1540,1666,1965,1747,1524,1521,1669,1496,1625
November 2015,1543,1537,1521,1535,1552,1675,1966,1755,1531,1530,1681,1499,1635
December 2015,1542,1532,1523,1534,1541,1670,1970,1750,1526,1527,1675,1496,1629
January 2016,1547,1545,1532,1544,1552,1681,1977,1764,1538,1532,1679,1506,1640
February 2016,1548,1549,1531,1548,1556,1687,1982,1765,1542,1533,1680,1509,1643
March 2016,1552,1554,1536,1550,1560,1684,1990,1770,1546,1540,1681,1512,1646
April 2016,1563,1559,1540,1556,1566,1688,1998,1775,1549,1543,1689,1513,1651
May 2016,1559,1561,1538,1557,1571,1691,1997,1776,1552,1555,1685,1517,1655
June 2016,1566,1565,1542,1560,1570,1691,2007,1778,1551,1549,1688,1515,1656
July 2016,1568,1566,1547,1564,1574,1703,2013,1783,1556,1550,1691,1519,1660
August 2016,1569,1566,1547,1563,1574,1698,2014,1785,1558,1553,1690,1529,1661
September 2016,1571,1571,1550,1566,1581,1702,2019,1787,1562,1556,1695,1526,1664
October 2016,1572,1573,1552,1571,1586,1707,2018,1789,1568,1560,1697,1528,1669
November 2016,1572,1574,1553,1568,1584,1706,2022,1789,1558,1560,1695,1529,1668
December 2016,1577,1578,1559,1572,1587,1711,2020,1794,1568,1566,1702,1532,1671
January 2017,1575,1579,1552,1571,1584,1709,2023,1792,1572,1567,1703,1542,1672
February 2017,1581,1583,1559,1579,1592,1715,2033,1802,1576,1574,1701,1533,1678
March 2017,1588,1588,1570,1587,1601,1727,2036,1811,1585,1580,1711,1541,1684
April 2017,1592,1599,1572,1597,1606,1735,2043,1817,1594,1586,1714,1545,1690
May 2017,1595,1602,1579,1598,1607,1738,2053,1820,1596,1586,1720,1545,1691
June 2017,1597,1604,1582,1601,1611,1742,2057,1823,1596,1587,1723,1553,1692
July 2017,1600,1607,1583,1604,1616,1750,2058,1824,1601,1594,1722,1559,1698
August 2017,1605,1608,1588,1607,1620,1749,2068,1829,1602,1596,1731,1558,1700
September 2017,1607,1611,1592,1613,1624,1755,2072,1834,1607,1600,1740,1563,1705
October 2017,1611,1620,1596,1617,1630,1764,2079,1843,1616,1602,1736,1568,1711
November 2017,1615,1621,1602,1622,1635,1765,2085,1844,1615,1604,1740,1570,1716
December 2017,1624,1626,1608,1625,1640,1770,2093,1847,1627,1611,1742,1580,1721
